Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Smith Walter,1868,1932,44,64,Male,Single,Crew,Deck,,,,Belfast,Southampton
Smith William,1886,1912,26,26,Male,Single,Crew,Deck,,,,Southampton,
Smither Harry James,1889,1912,22,22,Male,Married,Crew,Engine,,,,Southampton,
Smyth John Patrick,1877,,35,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Snape Lucy Violet,1890,1912,22,22,Female,Widowed,Crew,Victualling,,,,Southampton,
Snellgrove George,1871,1912,41,41,Male,Married,Crew,Engine,,,,Southampton,
Snook William Henry,1886,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
Snow Eustace Philip,1890,1966,21,75,Male,Single,Crew,Engine,,,,Southampton,New York City
Sparkman Henry William,1876,1947,36,71,Male,Married,Crew,Engine,,,,Southampton,New York City
Stagg John Henry,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Stanbrook  Augustus George,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Stap Sarah Agnes,1864,1937,47,72,Female,Single,Crew,Victualling,,,,Southampton,New York City
Starkey Henry,1864,1939,48,75,Male,,Crew,Deck,,,,Belfast,Southampton
Stebbings Sydney Frederick,1876,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
Stevenson Andrew,1884,,28,,Male,,Crew,Engine,,,,Belfast,Southampton
Stevenson James,1866,1919,46,52,Male,Married,Crew,Engine,,,,Belfast,Southampton
Stevenson John,1863,,49,,Male,,Crew,Engine,,,,Belfast,Southampton
Stewart John,1883,1946,28,62,Male,Married,Crew,Victualling,,,,Belfast,New York City
Stewart John Francis Croker,1881,1963,30,81,Male,Married,Crew,Engine,,,,Belfast,Southampton
Stewart Matthew,1887,,25,,Male,,Crew,Engine,,,,Belfast,Southampton
Stocker Henry Dorey,1892,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Stone Edmund,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Stone Edward Thomas,1882,1912,29,29,Male,Married,Crew,Victualling,,,,Southampton,
Strange Samuel,1872,1916,40,44,Male,Married,Crew,Engine,,,,Belfast,Southampton
Street Thomas Albert,1887,1964,25,76,Male,Single,Crew,Engine,,,,Southampton,New York City
Stroud Edward Alfred Orlando,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Stroud Harry John,1876,1912,35,35,Male,Single,Crew,Victualling,,,,Southampton,
Strugnell John Herbert,1878,1912,34,34,Male,Single,Crew,Victualling,,,,Belfast,
Stubbings Harry Robert,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Belfast,
Stubbs James Henry,1884,1912,28,28,Male,Single,Crew,Engine,,,,Southampton,
Swan William,1864,1912,48,48,Male,Married,Crew,Victualling,,,,Belfast,
Swarbrick Joseph,1892,1944,20,52,Male,Single,Crew,Engine,,,,Belfast,Southampton
Swarbrick William John,1888,1968,23,79,Male,,Crew,Engine,,,,Belfast,Southampton
Symonds John Crane,1867,1912,44,44,Male,Single,Crew,Victualling,,,,Belfast,
Symons George Thomas Macdonald,1888,1950,24,62,Male,,Crew,Deck,,,,Southampton,New York City
Taggart William,1887,,24,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Talbot George Frederick Charles,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Tamlyn Frederick,1888,1912,23,23,Male,Single,Crew,Deck,,,,Southampton,
Taylor Bernard Cuthbert,1889,1912,22,22,Male,Single,Crew,Victualling,,,,Southampton,
Taylor Charles William Frederick,1871,1912,40,40,Male,Married,Crew,Deck,,,,Southampton,
Taylor George,1888,1931,23,43,Male,Married,Crew,Engine,,,,Southampton,New York City
Taylor J.,1870,1912,42,42,Male,Married,Crew,Engine,,,,Southampton,
Taylor John Henry,1862,1912,49,49,Male,Married,Crew,Engine,,,,Southampton,
Taylor Leonard,1893,1912,19,19,Male,,Crew,Victualling,,,,Southampton,
Taylor William Henry,1883,1914,28,30,Male,Married,Crew,Engine,,,,Southampton,New York City
Taylor William John,1881,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Terrell Bertram,1893,1912,19,19,Male,Single,Crew,Deck,,,,Southampton,
Terrill Frank,1884,,27,,Male,,Crew,Victualling,,,,Southampton,New York City
Testoni Ercole,1888,1912,23,23,Male,Single,Crew,A la Carte,,,,Southampton,
Teuton Thomas Moore,1877,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Thaler Montague Donald,1894,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Theissinger Alfred,1865,1949,46,83,Male,,Crew,Victualling,,,,Southampton,New York City
Thomas Albert Charles,1889,1973,23,84,Male,Single,Crew,Victualling,,,,Southampton,New York City
Thomas Benjamin James,1881,1937,30,55,Male,Married,Crew,Victualling,,,,Belfast,New York City
Thomas John,1887,,25,,Male,,Crew,Deck,,,,Belfast,Southampton
Thomas Joseph Wakefield,1888,1912,23,23,Male,Married,Crew,Engine,,,,Southampton,
Thomas William,1861,,51,,Male,Married,Crew,Deck,,,,Belfast,Southampton
Thompson Herbert Henry,1887,1912,25,25,Male,Married,Crew,Victualling,,,,Belfast,
Thompson John William,1871,,41,,Male,,Crew,Engine,,,,Southampton,New York City
Thorley William Gordon,1871,1912,41,41,Male,Single,Crew,Victualling,,,,Southampton,
Thorn Harry,1886,1912,25,25,Male,Married,Crew,Victualling,,,,Southampton,
Threlfall Thomas,1867,1934,44,66,Male,Married,Crew,Engine,,,,Southampton,New York City
Thresher George Terrill,1886,1939,25,53,Male,Single,Crew,Engine,,,,Southampton,New York City
Tietz Carlo/Karl,1885,1912,27,27,Male,,Crew,A la Carte,,,,Southampton,
Tinsley Thomas,1864,,47,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Tizard Arthur Leopold,1881,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
Toms Fred,1882,1937,29,54,Male,,Crew,Victualling,,,,Belfast,New York City
Topp Thomas,1884,1912,27,27,Male,Married,Crew,Victualling,,,,Southampton,
Toshack James Adamson,1881,1912,30,30,Male,Married,Crew,Victualling,,,,Southampton,
Tozer James,1880,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Triggs Robert,1871,1931,41,60,Male,,Crew,Engine,,,,Southampton,New York City
Turley Richard,1875,1912,37,37,Male,Married,Crew,Engine,,,,Belfast,
Turner George Frederick,1870,1912,42,42,Male,Married,Crew,Victualling,,,,Southampton,
Turner Leopold Olerenshaw,1884,1912,28,28,Male,Single,Crew,Victualling,,,,Belfast,
Turvey Charles Thomas,1895,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Urbini Roberto,1891,1912,20,20,Male,Single,Crew,A la Carte,,,,Southampton,
Valler Arthur,1885,,26,,Male,,Crew,Engine,,,,Belfast,Southampton
Valvassori Ettore Luigi,1876,1912,35,35,Male,Married,Crew,A la Carte,,,,Southampton,
van der Brugge Wessel Adrianus,1873,1912,38,38,Male,Single,Crew,Engine,,,,Southampton,
Veal Arthur,1876,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
Veal Thomas Henry Edom,1874,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Vear Henry,1879,1912,33,33,Male,Widowed,Crew,Engine,,,,Southampton,
Vear William,1878,1912,34,34,Male,Single,Crew,Engine,,,,Southampton,
Vicat Alphonse Jean Eugene,1890,1912,21,21,Male,,Crew,A la Carte,,,,Southampton,
Vigott Philip Francis,1879,1941,32,61,Male,Single,Crew,Deck,,,,Southampton,New York City
Villvarlange Pierre Léon Gabriel,1893,1912,19,19,Male,Single,Crew,A la Carte,,,,Southampton,
Vine Herbert Thomas Gordon,1894,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Vioni Roberto,1886,1912,25,25,Male,Married,Crew,A la Carte,,,,Southampton,
Vögelin-Dubach Johannes,1876,1912,35,35,Male,Married,Crew,A la Carte,,,,Southampton,
Wake Percy,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Walker Robert,1869,,43,,Male,,Crew,Engine,,,,Belfast,Southampton
Wallace Robert,1886,,25,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Wallis Catherine Jane,1876,1912,36,36,Female,Widowed,Crew,Victualling,,,,Southampton,
Walls James,1879,1943,32,63,Male,Married,Crew,Engine,,,,Belfast,Southampton
Walpole James,1864,1912,48,48,Male,Single,Crew,Victualling,,,,Belfast,
Walsh Kate,1869,1912,42,42,Female,Married,Crew,Victualling,,,,Southampton,
Ward Arthur,1888,1912,23,23,Male,,Crew,Engine,,,,Belfast,
Ward Edward Bryon,1878,1912,34,34,Male,Single,Crew,Victualling,,,,Belfast,
Ward James William,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Ward Percy Thomas,1872,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
Ward William,1874,1941,37,66,Male,Married,Crew,Victualling,,,,Southampton,New York City
Ward William John,1887,,25,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Wardner Fred Albert,1872,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
Wareham Robert Arthur,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Belfast,
Warwick Tom,1886,1912,25,25,Male,Married,Crew,Victualling,,,,Southampton,
Wateridge Edward Lewis,1886,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Watson William,1885,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
Watson William Albert,1897,1912,14,14,Male,,Crew,Victualling,,,,Southampton,
Waugh James,1885,,26,,Male,,Crew,Engine,,,,Belfast,Southampton
Weatherston Thomas Herbert,1887,1912,25,25,Male,Single,Crew,Victualling,,,,Belfast,
Webb Brook Holden,1862,1912,50,50,Male,Married,Crew,Victualling,,,,Belfast,
Webb Samuel Francis,1883,1912,28,28,Male,Single,Crew,Engine,,,,Southampton,
Webber Francis Albert,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Weikman Augustus Henry,1860,1924,52,64,Male,Married,Crew,Victualling,,,,Southampton,New York City
Welch William Harold,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Weller William Clifford,1881,1954,30,72,Male,Married,Crew,Deck,,,,Belfast,New York City
Welsh Patrick,1862,,50,,Male,,Crew,Engine,,,,Belfast,Southampton
Wheat Joseph Thomas,1882,1961,30,79,Male,Married,Crew,Victualling,,,,Belfast,New York City
Wheelton Edenser Edward,1884,1949,28,65,Male,,Crew,Victualling,,,,Belfast,New York City
Whinnery Hugh,1869,1942,42,73,Male,Married,Crew,Engine,,,,Belfast,Southampton
White Albert,1895,1912,17,17,Male,,Crew,Engine,,,,Southampton,
White Alfred,1880,1922,32,41,Male,Married,Crew,Engine,,,,Southampton,New York City
White Arthur,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
White Edward Joseph,1884,1912,27,27,Male,Married,Crew,Victualling,,,,Southampton,
White Frank Leonard,1884,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
White Leonard Lisle Oliver,1880,1912,32,32,Male,Married,Crew,Victualling,,,,Belfast,
White William George,1888,1927,23,38,Male,Single,Crew,Engine,,,,Southampton,New York City
Whiteley Thomas Arthur,1894,1944,18,50,Male,Single,Crew,Victualling,,,,Southampton,New York City
Whitford Alfred Henry,1872,1912,39,39,Male,Married,Crew,Victualling,,,,Southampton,
Widgery Isaac George,1875,1942,37,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
Williams Arthur John,1870,1912,42,42,Male,Married,Crew,Victualling,,,,Southampton,
Williams Samuel Solomon,1884,1912,28,28,Male,Single,Crew,Engine,,,,Southampton,
Williams Walter John,1883,1971,28,87,Male,Married,Crew,Victualling,,,,Southampton,New York City
Willis William,1853,1912,59,59,Male,Married,Crew,Victualling,,,,Southampton,
Willsher William Aubrey,1878,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Wilson Bertie,1884,1912,27,27,Male,Married,Crew,Engine,,,,Belfast,
Wilton William Edward,1858,1912,53,53,Male,Married,Crew,Engine,,,,Southampton,
Winser Rowland,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Witcher Albert Ernest,1873,1912,39,39,Male,Married,Crew,Engine,,,,Southampton,
Witter James William Cheetham,1880,1961,31,81,Male,Married,Crew,Victualling,,,,Southampton,New York City
Wittman Henry,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Witts William Francis,1877,1912,35,35,Male,Single,Crew,Engine,,,,Southampton,
Wood Henry,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Wood James Thomas,1863,1912,49,49,Male,Married,Crew,Victualling,,,,Southampton,
Woodford Frederick Ernest,1871,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
Woodmey Robert,1871,,41,,Male,,Crew,Engine,,,,Belfast,Southampton
Woods Hugh,1881,1963,31,82,Male,Single,Crew,Engine,,,,Belfast,Southampton
Wormald Henry Frederick Charles,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Southampton,
Worthman William Henry,1875,1912,37,37,Male,Married,Crew,Engine,,,,Southampton,
Wrapson Frederick Bernard,1893,1912,18,18,Male,Single,Crew,Victualling,,,,Belfast,
Wright Frederick,1888,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Wright William,1864,1940,47,75,Male,Married,Crew,Victualling,,,,Southampton,New York City
Wyeth James Robert,1886,1912,25,25,Male,Married,Crew,Engine,,,,Southampton,
Wynn William,1870,1945,41,74,Male,Married,Crew,Deck,,,,Belfast,New York City
Yearsley Harry,1871,1939,40,67,Male,Married,Crew,Victualling,,,,Southampton,New York City
Young Francis James,1879,1912,32,32,Male,Married,Crew,Engine,,,,Southampton,
Zanetti Minio,1892,1912,20,20,Male,Single,Crew,A la Carte,,,,Southampton,
Zarracchi L.,1886,1912,26,26,Male,Single,Crew,A la Carte,,,,Southampton,
