Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Monrós Joan Javier,1892,1912,20,20,Male,Single,Crew,A la Carte,,,,Southampton,
Monteverdi Giovanni,1889,1912,23,23,Male,Single,Crew,A la Carte,,,,Southampton,
Moore Alfred Ernest,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Moore George Alfred,1880,1943,32,63,Male,Married,Crew,Deck,,,,Southampton,New York City
Moore J.,1883,1954,29,70,Male,,Crew,Engine,,,,Southampton,New York City
Moore Ralph,1890,1912,22,22,Male,Single,Crew,Engine,,,,Southampton,
Moores Richard Henry,1868,1912,44,44,Male,Widowed,Crew,Engine,,,,Southampton,
Morgan (Bird) Charles Frederick,1868,1912,44,44,Male,Married,Crew,Victualling,,,,Southampton,
Morgan Arthur Herbert,1885,1912,27,27,Male,Married,Crew,Engine,,,,Southampton,
Morgan Patrick,1885,,26,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Morgan Thomas A.,1886,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Morrell James,1887,,24,,Male,,Crew,Deck,,,,Belfast,Southampton
Morris Frank Herbert,1883,1954,28,70,Male,Single,Crew,Victualling,,,,Belfast,New York City
Morris William Edward,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Morrison Thomas,1886,,26,,Male,,Crew,Engine,,,,Belfast,Southampton
Moss William,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Belfast,
Moyes William Young,1887,1912,24,24,Male,Single,Crew,Engine,,,,Belfast,
Mulholland Joseph,1883,,28,,Male,Single,Crew,Engine,,,,Belfast,Southampton
Mullholland Daniel,1852,1919,60,67,Male,Widowed,Crew,Engine,,,,Belfast,Southampton
Mullin Thomas,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Murdock William John,1874,1941,37,66,Male,Married,Crew,Engine,,,,Belfast,New York City
Murphy Thomas,1877,,35,,Male,,Crew,Engine,,,,Belfast,Southampton
Müller Ludwig,1875,1912,37,37,Male,Single,Crew,Victualling,,,,Southampton,
Nannini Francesco Luigi Arcangelo,1870,1912,42,42,Male,Married,Crew,A la Carte,,,,Southampton,
Neal Harold Bentley,1886,1950,25,63,Male,Married,Crew,Victualling,,,,Southampton,New York City
Neill Thomas,1870,,42,,Male,,Crew,Engine,,,,Belfast,Southampton
Nettleton George Walter,1882,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Newman Charles Thomas,1879,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Nicholls Sidney,1873,1912,39,39,Male,,Crew,Victualling,,,,Southampton,
Nichols Albert William Stanley,1864,1912,47,47,Male,Married,Crew,Deck,,,,Belfast,
Nichols Arthur,1866,1912,45,45,Male,Married,Crew,Victualling,,,,Southampton,
Nichols Walter Henry,1876,1960,35,83,Male,Married,Crew,Victualling,,,,Southampton,New York City
Niven John Brown,1881,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Nolan Michael Bernard,1872,1941,40,68,Male,Married,Crew,Engine,,,,Belfast,Southampton
Noon John Thomas,1870,1912,42,42,Male,Widowed,Crew,Engine,,,,Southampton,
Norris James,1890,1912,22,22,Male,Married,Crew,Engine,,,,Southampton,
Noss Bertram Arthur,1892,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Noss Henry,1881,1961,30,79,Male,Married,Crew,Engine,,,,Southampton,New York City
Nutbean William,1881,1947,30,65,Male,Married,Crew,Engine,,,,Southampton,New York City
O'Connor Thomas Peter,1868,1912,44,44,Male,Married,Crew,Victualling,,,,Belfast,
O'Loughlin William Francis Norman,1849,1912,63,63,Male,Single,Crew,Deck,,,,Belfast,
Olive Charles,1881,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
Olive Ernest Roskelly,1885,1912,27,27,Male,Single,Crew,Victualling,,,,Southampton,
Oliver Harry,1871,1944,41,72,Male,Married,Crew,Engine,,,,Southampton,New York City
Olliver Alfred John,1884,1934,27,50,Male,,Crew,Deck,,,,Belfast,New York City
Orpet Walter Hayward,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Orr James,1872,1912,39,39,Male,Single,Crew,Victualling,,,,Southampton,
Osborne William Edward,1879,1912,33,33,Male,Single,Crew,Victualling,,,,Belfast,
Osman Frank,1885,1938,27,53,Male,Married,Crew,Deck,,,,Southampton,New York City
Othen Charles Alfred,1876,1952,36,76,Male,Married,Crew,Engine,,,,Southampton,New York City
Owen Lewis,1862,1912,49,49,Male,Married,Crew,Victualling,,,,Southampton,
Pacey Reginald lvan,1894,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Pachera Jean Baptiste Stanislas,1892,1912,19,19,Male,,Crew,A la Carte,,,,Southampton,
Paice Richard Charles John,1880,1912,32,32,Male,Married,Crew,Engine,,,,Southampton,
Painter Charles,1880,1912,32,32,Male,Married,Crew,Engine,,,,Southampton,
Painter Frank,1883,1912,28,28,Male,Married,Crew,Engine,,,,Southampton,
Paintin James Arthur,1882,1912,29,29,Male,Married,Crew,Victualling,,,,Southampton,
Palles Thomas Henry Michael,1867,1912,45,45,Male,Single,Crew,Engine,,,,Belfast,
Parsons Edward,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Parsons Frank Alfred,1885,1912,26,26,Male,Married,Crew,Engine,,,,Belfast,
